prefix,URI,Title,Languages,VersionName,VersionDate,Link,Folder
dot,https://w3id.org/dot#,Damage Topology Ontology, en ,v0.8,2018-10-12,https://lov.linkeddata.es/dataset/lov/vocabs/dot/versions/2018-10-12.n3,LOV_Full
dpn,http://purl.org/dpn,Data Provider Node ontology, ,v0.6.1,2015-08-05,https://lov.linkeddata.es/dataset/lov/vocabs/dpn/versions/2015-08-05.n3,LOV_Full
dprov,http://promsns.org/def/decprov,Decision Provenance ontology (DecPROV), en pl ,v2017-09-01,2017-09-01,https://lov.linkeddata.es/dataset/lov/vocabs/dprov/versions/2017-09-01.n3,LOV_Full
dq,http://def.seegrid.csiro.au/isotc211/iso19115/2003/dataquality,OWL representation of ISO 19115 (Geographic Information - Metadata - Data quality package), ,v2014-08-28,2014-08-28,https://lov.linkeddata.es/dataset/lov/vocabs/dq/versions/2014-08-28.n3,LOV_Full
dqc,http://semwebquality.org/ontologies/dq-constraints,The Data Quality Constraints Library, en ,v1.1,2011-03-28,https://lov.linkeddata.es/dataset/lov/vocabs/dqc/versions/2011-03-28.n3,LOV_Full
dqm,http://purl.org/dqm-vocabulary/v1/dqm,The Data Quality Management Vocabulary, de en ,v1.0,2011-10-09,https://lov.linkeddata.es/dataset/lov/vocabs/dqm/versions/2011-10-09.n3,LOV_Full
dqv,http://www.w3.org/ns/dqv,Data Quality Vocabulary, en ,v2016-08-26,2016-08-26,https://lov.linkeddata.es/dataset/lov/vocabs/dqv/versions/2016-08-26.n3,LOV_Full
dr,http://purl.org/swan/2.0/discourse-relationships/,Discourse relationships vocabulary, en ,v3.0,2010-10-12,https://lov.linkeddata.es/dataset/lov/vocabs/dr/versions/2010-10-12.n3,LOV_Full
drama,http://www.purl.org/drammar,Drammar: a comprehensive ontology of drama, en ,v0.9,2018-06-11,https://lov.linkeddata.es/dataset/lov/vocabs/drama/versions/2018-06-11.n3,LOV_Full
drm,http://vocab.data.gov/def/drm,Data Reference Model, ,v2012-03-17,2012-03-17,https://lov.linkeddata.es/dataset/lov/vocabs/drm/versions/2012-03-17.n3,LOV_Full
